Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulde_x,LShoulde_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y
0.170922217,0.368069057,0.091088755,0.404022078,0.091088755,0.418403286,0.104972835,0.555024768,0.143154056,0.648502624,0.094559775,0.396831474,0.111914876,0.511881142,,,0.049436514,0.655693228,0.056378554,0.821077126,0.070262635,0.993651629,0.000842233,0.626930811,0.021668353,0.828267731,0.007784273,0.986461024,0.167451197,0.346497244,,,0.139683036,0.332116035,,
0.174393237,0.368069057,0.094559775,0.404022078,0.094559775,0.418403286,0.101501815,0.555024768,0.139683036,0.648502624,0.104972835,0.404022078,0.122327936,0.511881142,0.174393237,0.526262351,0.052907534,0.648502624,0.063320594,0.813886522,0.066791615,0.993651629,0.004313253,0.626930811,0.035552434,0.821077126,0.021668353,0.979270421,0.170922217,0.346497244,,,0.143154056,0.332116035,,
0.177864257,0.375259661,0.098030795,0.404022078,0.094559775,0.418403286,0.101501815,0.555024768,0.139683036,0.655693228,0.108443856,0.404022078,0.115385896,0.511881142,,,0.052907534,0.641312019,0.063320594,0.821077126,0.066791615,1.000842233,0.011255293,0.619740206,0.049436514,0.821077126,0.039023454,0.986461024,0.174393237,0.353687848,,,0.146625077,0.332116035,,
0.174393237,0.382450265,0.101501815,0.411212682,0.094559775,0.418403286,0.101501815,0.555024768,0.132740996,0.655693228,0.111914876,0.411212682,0.132740996,0.511881142,0.174393237,0.519071746,0.059849574,0.648502624,0.066791615,0.828267731,0.063320594,0.993651629,0.011255293,0.626930811,0.049436514,0.821077126,0.035552434,0.979270421,0.174393237,0.360878452,,,0.150096097,0.339306639,,
0.174393237,0.382450265,0.104972835,0.404022078,0.098030795,0.418403286,0.098030795,0.555024768,0.129269976,0.655693228,0.115385896,0.411212682,0.146625077,0.511881142,0.177864257,0.526262351,0.059849574,0.655693228,0.070262635,0.821077126,0.059849574,0.993651629,0.014726313,0.626930811,0.087617735,0.799505313,0.052907534,0.986461024,0.174393237,0.368069057,,,0.150096097,0.339306639,,
0.177864257,0.382450265,0.104972835,0.404022078,0.101501815,0.418403286,0.094559775,0.555024768,0.125798956,0.648502624,0.115385896,0.404022078,0.153567117,0.526262351,0.181335277,0.526262351,0.063320594,0.648502624,0.066791615,0.835458334,0.059849574,0.993651629,0.018197333,0.626930811,0.052907534,0.828267731,0.049436514,0.979270421,0.174393237,0.368069057,,,0.150096097,0.339306639,,
0.177864257,0.382450265,0.108443856,0.411212682,0.098030795,0.411212682,0.094559775,0.555024768,0.118856916,0.648502624,0.125798956,0.411212682,0.153567117,0.504690538,0.181335277,0.519071746,0.052907534,0.641312019,0.066791615,0.828267731,0.063320594,0.993651629,0.091088755,0.655693228,0.129269976,0.821077126,0.188277318,0.900173773,0.177864257,0.368069057,,,0.150096097,0.339306639,,
0.181335277,0.382450265,0.111914876,0.411212682,0.098030795,0.411212682,0.091088755,0.540643559,0.115385896,0.641312019,0.132740996,0.418403286,0.157038137,0.511881142,0.184806298,0.519071746,0.052907534,0.641312019,0.063320594,0.835458334,0.066791615,0.993651629,0.101501815,0.641312019,0.129269976,0.813886522,0.184806298,0.907364377,0.177864257,0.368069057,,,0.153567117,0.346497244,,
0.184806298,0.382450265,0.115385896,0.411212682,0.101501815,0.411212682,0.084146715,0.533452955,0.111914876,0.634121415,0.132740996,0.418403286,0.160509157,0.511881142,0.184806298,0.526262351,0.052907534,0.634121415,0.066791615,0.813886522,0.063320594,0.986461024,0.087617735,0.634121415,0.139683036,0.792314709,0.191748338,0.892983169,0.181335277,0.368069057,,,0.157038137,0.346497244,,
0.188277318,0.382450265,0.118856916,0.411212682,0.104972835,0.411212682,0.084146715,0.533452955,0.108443856,0.634121415,0.136212016,0.418403286,0.160509157,0.497499934,0.184806298,0.519071746,0.052907534,0.634121415,0.070262635,0.821077126,0.059849574,0.986461024,0.091088755,0.634121415,0.157038137,0.806695918,0.205632418,0.892983169,0.184806298,0.368069057,,,0.160509157,0.346497244,,
0.195219358,0.382450265,0.122327936,0.411212682,0.111914876,0.418403286,0.084146715,0.526262351,0.104972835,0.634121415,0.139683036,0.418403286,0.163980177,0.504690538,0.188277318,0.526262351,0.056378554,0.634121415,0.066791615,0.828267731,0.059849574,0.993651629,0.111914876,0.634121415,0.177864257,0.806695918,0.205632418,0.907364377,0.191748338,0.360878452,,,0.160509157,0.346497244,,
0.195219358,0.382450265,0.122327936,0.411212682,0.111914876,0.418403286,0.080675695,0.526262351,0.101501815,0.634121415,0.143154056,0.418403286,0.170922217,0.511881142,0.188277318,0.526262351,0.059849574,0.634121415,0.066791615,0.828267731,0.059849574,0.993651629,0.122327936,0.634121415,0.181335277,0.799505313,0.209103438,0.907364377,0.195219358,0.368069057,,,0.167451197,0.346497244,,
0.202161398,0.389640869,0.132740996,0.418403286,0.118856916,0.418403286,0.080675695,0.519071746,0.098030795,0.626930811,0.150096097,0.425593891,0.170922217,0.504690538,0.188277318,0.519071746,0.063320594,0.626930811,0.066791615,0.828267731,0.059849574,0.993651629,0.125798956,0.626930811,0.188277318,0.792314709,0.205632418,0.907364377,0.202161398,0.368069057,,,0.170922217,0.346497244,,
0.209103438,0.382450265,0.136212016,0.418403286,0.122327936,0.411212682,0.080675695,0.519071746,0.094559775,0.626930811,0.157038137,0.425593891,0.177864257,0.511881142,0.195219358,0.519071746,0.070262635,0.626930811,0.070262635,0.828267731,0.063320594,0.993651629,0.136212016,0.641312019,0.191748338,0.799505313,0.160509157,0.943317398,0.205632418,0.360878452,,,0.174393237,0.346497244,,
0.212574458,0.389640869,0.146625077,0.418403286,0.129269976,0.418403286,0.084146715,0.511881142,0.094559775,0.626930811,0.163980177,0.425593891,0.174393237,0.511881142,0.191748338,0.526262351,0.077204675,0.626930811,0.073733655,0.828267731,0.063320594,0.993651629,0.143154056,0.641312019,0.195219358,0.799505313,0.184806298,0.943317398,0.212574458,0.368069057,,,0.181335277,0.346497244,,
0.219516499,0.382450265,0.153567117,0.418403286,0.132740996,0.411212682,0.084146715,0.511881142,0.098030795,0.626930811,0.174393237,0.425593891,0.181335277,0.533452955,0.195219358,0.540643559,0.084146715,0.626930811,0.080675695,0.821077126,0.063320594,0.993651629,0.150096097,0.641312019,0.198690378,0.792314709,0.209103438,0.936126795,0.216045478,0.360878452,,,0.184806298,0.346497244,,
0.222987519,0.382450265,0.160509157,0.418403286,0.136212016,0.418403286,0.087617735,0.519071746,0.098030795,0.634121415,0.181335277,0.425593891,0.188277318,0.540643559,0.250755679,0.590977789,0.104972835,0.634121415,0.084146715,0.828267731,0.063320594,0.993651629,0.160509157,0.641312019,0.202161398,0.792314709,0.229929559,0.943317398,0.219516499,0.360878452,,,0.188277318,0.339306639,,
